id_salaire,teacher_code,mois,annee,salaire_base,primes,retenues,salaire_net,mode_paiement
71,TEACH-00006,11,2025,342708,127285,43355,426638,Wave
72,TEACH-00006,12,2025,390386,164627,43502,511511,Orange Money
73,TEACH-00007,1,2025,518518,33567,26695,525390,Virement
74,TEACH-00007,2,2025,251162,102591,34883,318870,Virement
75,TEACH-00007,3,2025,314253,158511,17946,454818,Wave
76,TEACH-00007,4,2025,684637,6866,16815,674688,Wave
77,TEACH-00007,5,2025,554711,117384,43868,628227,Orange Money
78,TEACH-00007,6,2025,557809,123950,23682,658077,Wave
79,TEACH-00007,7,2025,423458,13319,32062,404715,Orange Money
80,TEACH-00007,8,2025,715379,147790,39103,824066,Banque
81,TEACH-00007,9,2025,290322,141263,9590,421995,Banque
82,TEACH-00007,10,2025,502808,173633,10197,666244,Wave
83,TEACH-00007,11,2025,757372,75888,16924,816336,Banque
84,TEACH-00007,12,2025,685073,146089,17174,813988,Orange Money
85,TEACH-00008,1,2025,732337,166507,25059,873785,Wave
86,TEACH-00008,2,2025,648819,131319,13983,766155,Banque
87,TEACH-00008,3,2025,718241,110557,20159,808639,Virement
88,TEACH-00008,4,2025,466364,14022,35630,444756,Virement
89,TEACH-00008,5,2025,530097,144786,41818,633065,Virement
90,TEACH-00008,6,2025,313532,23243,8380,328395,Virement
91,TEACH-00008,7,2025,543874,31383,19509,555748,Banque
92,TEACH-00008,8,2025,380406,73154,33257,420303,Banque
93,TEACH-00008,9,2025,775352,177654,26056,926950,Banque
94,TEACH-00008,10,2025,394263,24453,32796,385920,Wave
95,TEACH-00008,11,2025,556843,163300,3078,717065,Banque
96,TEACH-00008,12,2025,709055,177940,31763,855232,Orange Money
97,TEACH-00009,1,2025,633008,33065,33775,632298,Virement
98,TEACH-00009,2,2025,532979,12614,41462,504131,Banque
99,TEACH-00009,3,2025,278584,191075,45444,424215,Orange Money
100,TEACH-00009,4,2025,433224,25579,5919,452884,Virement
101,TEACH-00009,5,2025,413902,61687,19949,455640,Banque
102,TEACH-00009,6,2025,309844,35961,24293,321512,Banque
103,TEACH-00009,7,2025,456930,51267,41691,466506,Wave
104,TEACH-00009,8,2025,478869,86867,33822,531914,Orange Money
105,TEACH-00009,9,2025,292862,115515,34413,373964,Virement
106,TEACH-00009,10,2025,331370,118599,20486,429483,Banque
107,TEACH-00009,11,2025,554664,5932,29843,530753,Banque
108,TEACH-00009,12,2025,345212,192089,16659,520642,Virement
109,TEACH-00010,1,2025,630398,108127,24522,714003,Virement
110,TEACH-00010,2,2025,720974,71133,5887,786220,Banque
111,TEACH-00010,3,2025,349668,181896,41113,490451,Banque
112,TEACH-00010,4,2025,457642,194722,26768,625596,Wave
113,TEACH-00010,5,2025,685767,112084,44726,753125,Virement
114,TEACH-00010,6,2025,404881,45606,48814,401673,Wave
115,TEACH-00010,7,2025,576750,142969,32941,686778,Wave
116,TEACH-00010,8,2025,410689,143860,39648,514901,Orange Money
117,TEACH-00010,9,2025,689384,176592,4648,861328,Virement
118,TEACH-00010,10,2025,366615,172781,12913,526483,Virement
119,TEACH-00010,11,2025,666756,186458,43224,809990,Orange Money
120,TEACH-00010,12,2025,691496,102127,25906,767717,Banque
121,TEACH-00011,1,2025,481537,59716,4609,536644,Wave
122,TEACH-00011,2,2025,349340,46199,8225,387314,Banque
123,TEACH-00011,3,2025,293153,111244,48667,355730,Wave
124,TEACH-00011,4,2025,284673,106628,39542,351759,Banque
125,TEACH-00011,5,2025,321525,58338,27053,352810,Wave
126,TEACH-00011,6,2025,409365,183560,38715,554210,Banque
127,TEACH-00011,7,2025,393002,98101,35944,455159,Orange Money
128,TEACH-00011,8,2025,529197,162359,40063,651493,Banque
129,TEACH-00011,9,2025,630374,188272,3145,815501,Orange Money
130,TEACH-00011,10,2025,466896,88003,28375,526524,Banque
131,TEACH-00011,11,2025,678164,141969,2548,817585,Wave
132,TEACH-00011,12,2025,254914,55671,18696,291889,Orange Money
133,TEACH-00012,1,2025,542129,147037,15386,673780,Wave
134,TEACH-00012,2,2025,488926,67979,17652,539253,Banque
135,TEACH-00012,3,2025,545684,114436,13182,646938,Virement
136,TEACH-00012,4,2025,546626,130356,20146,656836,Wave
137,TEACH-00012,5,2025,473730,22633,878,495485,Orange Money
138,TEACH-00012,6,2025,581321,3568,47766,537123,Wave
139,TEACH-00012,7,2025,256631,11164,20005,247790,Orange Money
140,TEACH-00012,8,2025,758758,184749,29002,914505,Banque
141,TEACH-00012,9,2025,295200,61195,41601,314794,Virement
142,TEACH-00012,10,2025,749342,8155,29398,728099,Orange Money
143,TEACH-00012,11,2025,641286,110511,23988,727809,Banque
144,TEACH-00012,12,2025,326270,14217,17481,323006,Banque
145,TEACH-00013,1,2025,463870,104433,8567,559736,Banque
146,TEACH-00013,2,2025,572283,123472,770,694985,Virement
147,TEACH-00013,3,2025,589601,24917,3087,611431,Wave
148,TEACH-00013,4,2025,428076,11276,25085,414267,Wave
149,TEACH-00013,5,2025,492578,97619,33894,556303,Orange Money
150,TEACH-00013,6,2025,346055,123106,4361,464800,Banque
151,TEACH-00013,7,2025,619649,34838,4870,649617,Banque
152,TEACH-00013,8,2025,507991,98332,13025,593298,Banque
153,TEACH-00013,9,2025,342492,31467,8821,365138,Banque
154,TEACH-00013,10,2025,687318,99717,45698,741337,Virement
155,TEACH-00013,11,2025,657931,121659,39634,739956,Virement
156,TEACH-00013,12,2025,676089,4120,18152,662057,Banque
157,TEACH-00014,1,2025,767296,198629,22031,943894,Banque
158,TEACH-00014,2,2025,430478,148724,36720,542482,Wave
159,TEACH-00014,3,2025,319655,101131,25354,395432,Orange Money
160,TEACH-00014,4,2025,432513,147163,5247,574429,Orange Money
161,TEACH-00014,5,2025,511385,79728,26828,564285,Orange Money
162,TEACH-00014,6,2025,744717,113642,12769,845590,Wave
163,TEACH-00014,7,2025,652927,11773,14623,650077,Virement
164,TEACH-00014,8,2025,724050,39989,29010,735029,Virement
165,TEACH-00014,9,2025,270328,199458,30962,438824,Banque
166,TEACH-00014,10,2025,586886,103538,35839,654585,Wave
167,TEACH-00014,11,2025,398590,185378,43298,540670,Virement
168,TEACH-00014,12,2025,522031,138739,29493,631277,Orange Money
169,TEACH-00015,1,2025,606540,46024,31341,621223,Virement
170,TEACH-00015,2,2025,587904,8845,18667,578082,Virement
171,TEACH-00015,3,2025,447898,159732,33140,574490,Virement
172,TEACH-00015,4,2025,776985,150529,9181,918333,Orange Money
173,TEACH-00015,5,2025,626013,117963,10336,733640,Orange Money
174,TEACH-00015,6,2025,518379,173049,18948,672480,Banque
175,TEACH-00015,7,2025,399908,95224,11203,483929,Orange Money
176,TEACH-00015,8,2025,440289,155509,14190,581608,Banque
177,TEACH-00015,9,2025,445234,12935,23769,434400,Orange Money
178,TEACH-00015,10,2025,624075,33740,50,657765,Wave
179,TEACH-00015,11,2025,752960,120911,6645,867226,Virement
180,TEACH-00015,12,2025,359580,104073,6258,457395,Orange Money
181,TEACH-00016,1,2025,306963,146779,39725,414017,Virement
182,TEACH-00016,2,2025,709864,154267,14181,849950,Virement
183,TEACH-00016,3,2025,608835,116083,43712,681206,Orange Money
184,TEACH-00016,4,2025,550788,112865,26640,637013,Banque
185,TEACH-00016,5,2025,600711,3937,14217,590431,Virement
186,TEACH-00016,6,2025,708545,15625,42335,681835,Wave
187,TEACH-00016,7,2025,306731,134678,24720,416689,Wave
188,TEACH-00016,8,2025,618338,187722,46393,759667,Banque
189,TEACH-00016,9,2025,681455,77162,41971,716646,Wave
190,TEACH-00016,10,2025,655825,56308,14401,697732,Orange Money
191,TEACH-00016,11,2025,381766,126918,44326,464358,Virement
192,TEACH-00016,12,2025,568090,81602,43645,606047,Wave
193,TEACH-00017,1,2025,406264,87541,32326,461479,Wave
194,TEACH-00017,2,2025,656269,105304,38974,722599,Virement
195,TEACH-00017,3,2025,261634,193101,6006,448729,Wave
196,TEACH-00017,4,2025,637465,188013,40588,784890,Orange Money
197,TEACH-00017,5,2025,639997,94452,43106,691343,Banque
198,TEACH-00017,6,2025,478107,177478,37557,618028,Orange Money
199,TEACH-00017,7,2025,567244,26741,33322,560663,Virement
200,TEACH-00017,8,2025,615833,133569,48817,700585,Virement
201,TEACH-00017,9,2025,721993,110133,13554,818572,Virement
202,TEACH-00017,10,2025,798118,144587,44774,897931,Banque
203,TEACH-00017,11,2025,570817,42972,34758,579031,Virement
204,TEACH-00017,12,2025,556309,35175,48092,543392,Banque
205,TEACH-00018,1,2025,262891,145013,1508,406396,Banque
206,TEACH-00018,2,2025,312147,90097,38563,363681,Virement
207,TEACH-00018,3,2025,540245,79999,12915,607329,Orange Money
208,TEACH-00018,4,2025,375448,97856,14257,459047,Virement
209,TEACH-00018,5,2025,274636,124381,5169,393848,Banque
210,TEACH-00018,6,2025,682415,161767,10405,833777,Banque
211,TEACH-00018,7,2025,432459,134326,5786,560999,Banque
212,TEACH-00018,8,2025,790570,43952,27827,806695,Virement
213,TEACH-00018,9,2025,640155,190175,46267,784063,Wave
214,TEACH-00018,10,2025,340706,109516,7464,442758,Banque
215,TEACH-00018,11,2025,587727,111725,1590,697862,Wave
216,TEACH-00018,12,2025,666137,63937,40994,689080,Wave
217,TEACH-00019,1,2025,711917,169827,40800,840944,Wave
218,TEACH-00019,2,2025,644947,72720,20748,696919,Banque
219,TEACH-00019,3,2025,302683,195155,46068,451770,Virement
220,TEACH-00019,4,2025,592787,181701,42964,731524,Orange Money
221,TEACH-00019,5,2025,732582,93621,7586,818617,Wave
222,TEACH-00019,6,2025,674703,23063,47383,650383,Wave
223,TEACH-00019,7,2025,626030,113298,13637,725691,Orange Money
224,TEACH-00019,8,2025,521875,137484,12228,647131,Virement
225,TEACH-00019,9,2025,395206,174663,43657,526212,Wave
226,TEACH-00019,10,2025,389020,61086,390,449716,Virement
227,TEACH-00019,11,2025,658518,4575,8548,654545,Banque
228,TEACH-00019,12,2025,765889,107748,1773,871864,Wave
229,TEACH-00020,1,2025,772043,194710,47973,918780,Orange Money
230,TEACH-00020,2,2025,587413,42520,30304,599629,Banque
231,TEACH-00020,3,2025,796487,40765,30267,806985,Orange Money
232,TEACH-00020,4,2025,318280,48545,39856,326969,Banque
233,TEACH-00020,5,2025,789972,169007,4928,954051,Virement
234,TEACH-00020,6,2025,585432,5575,39748,551259,Wave
235,TEACH-00020,7,2025,442819,151590,18217,576192,Banque
236,TEACH-00020,8,2025,664871,122484,35873,751482,Wave
237,TEACH-00020,9,2025,644558,157145,35080,766623,Wave
238,TEACH-00020,10,2025,615160,14775,44328,585607,Virement
239,TEACH-00020,11,2025,509644,18324,12667,515301,Banque
240,TEACH-00020,12,2025,378123,15368,40923,352568,Virement
241,TEACH-00021,1,2025,306921,23409,38299,292031,Orange Money
242,TEACH-00021,2,2025,316703,58430,28409,346724,Orange Money
243,TEACH-00021,3,2025,549836,2580,3891,548525,Orange Money
244,TEACH-00021,4,2025,584820,40333,40948,584205,Orange Money
245,TEACH-00021,5,2025,293847,177029,19258,451618,Wave
246,TEACH-00021,6,2025,409559,137329,35970,510918,Orange Money
247,TEACH-00021,7,2025,553884,199286,5305,747865,Wave
248,TEACH-00021,8,2025,749682,20072,19067,750687,Orange Money
249,TEACH-00021,9,2025,302840,41560,19558,324842,Virement
250,TEACH-00021,10,2025,760726,191579,16120,936185,Wave
251,TEACH-00021,11,2025,798507,98920,4954,892473,Banque
252,TEACH-00021,12,2025,377026,179357,1454,554929,Virement
253,TEACH-00022,1,2025,404724,5453,27670,382507,Virement
254,TEACH-00022,2,2025,368842,160347,29646,499543,Wave
255,TEACH-00022,3,2025,263773,157565,33427,387911,Banque
256,TEACH-00022,4,2025,315907,132332,21944,426295,Banque
257,TEACH-00022,5,2025,429287,134617,40913,522991,Wave
258,TEACH-00022,6,2025,602487,105459,34846,673100,Orange Money
259,TEACH-00022,7,2025,320177,143772,34939,429010,Wave
260,TEACH-00022,8,2025,551476,27780,47908,531348,Orange Money
261,TEACH-00022,9,2025,767549,101255,20864,847940,Wave
262,TEACH-00022,10,2025,439349,158635,18931,579053,Banque
263,TEACH-00022,11,2025,504348,33017,18916,518449,Banque
264,TEACH-00022,12,2025,400913,107905,13492,495326,Virement
265,TEACH-00023,1,2025,711264,90461,9429,792296,Orange Money
266,TEACH-00023,2,2025,527508,106131,20535,613104,Virement
267,TEACH-00023,3,2025,744139,199355,34348,909146,Banque
268,TEACH-00023,4,2025,454103,2048,30023,426128,Orange Money
269,TEACH-00023,5,2025,439180,29682,1334,467528,Wave
270,TEACH-00023,6,2025,564141,87122,43975,607288,Orange Money
271,TEACH-00023,7,2025,330850,190247,30325,490772,Virement
272,TEACH-00023,8,2025,257954,46923,38291,266586,Banque
273,TEACH-00023,9,2025,481421,130365,32966,578820,Orange Money
274,TEACH-00023,10,2025,731989,170052,902,901139,Orange Money
275,TEACH-00023,11,2025,780342,181394,33956,927780,Banque
276,TEACH-00023,12,2025,741419,188939,22021,908337,Banque
277,TEACH-00024,1,2025,337640,84431,32803,389268,Wave
278,TEACH-00024,2,2025,655631,190090,2790,842931,Banque
279,TEACH-00024,3,2025,585677,25556,49802,561431,Banque
280,TEACH-00024,4,2025,456752,123388,3630,576510,Banque
281,TEACH-00024,5,2025,464610,78559,35183,507986,Orange Money
282,TEACH-00024,6,2025,403078,177555,28350,552283,Virement
283,TEACH-00024,7,2025,273513,40596,36663,277446,Orange Money
284,TEACH-00024,8,2025,734548,70243,22278,782513,Wave
285,TEACH-00024,9,2025,338080,50087,3881,384286,Banque
286,TEACH-00024,10,2025,763062,19047,8219,773890,Wave
287,TEACH-00024,11,2025,453783,147756,24024,577515,Virement
288,TEACH-00024,12,2025,649997,101273,9100,742170,Orange Money
289,TEACH-00025,1,2025,436287,140885,3758,573414,Orange Money
290,TEACH-00025,2,2025,439463,142138,13797,567804,Orange Money
291,TEACH-00025,3,2025,456586,26427,44032,438981,Virement
292,TEACH-00025,4,2025,314401,97607,34657,377351,Orange Money
293,TEACH-00025,5,2025,266404,97687,42880,321211,Orange Money
294,TEACH-00025,6,2025,664699,78471,26222,716948,Banque
295,TEACH-00025,7,2025,282548,104722,44297,342973,Wave
296,TEACH-00025,8,2025,508773,504,37377,471900,Orange Money
297,TEACH-00025,9,2025,406807,113410,39103,481114,Banque
298,TEACH-00025,10,2025,532517,82858,25241,590134,Virement
299,TEACH-00025,11,2025,479298,47851,36989,490160,Wave
300,TEACH-00025,12,2025,456735,160587,32110,585212,Orange Money
301,TEACH-00026,1,2025,426791,58662,37805,447648,Wave
302,TEACH-00026,2,2025,294327,31863,29871,296319,Wave
303,TEACH-00026,3,2025,760741,129728,31495,858974,Orange Money
304,TEACH-00026,4,2025,706380,176873,19158,864095,Wave
305,TEACH-00026,5,2025,398065,83210,10486,470789,Virement
306,TEACH-00026,6,2025,343239,163155,33351,473043,Orange Money
307,TEACH-00026,7,2025,751319,135684,16237,870766,Virement
308,TEACH-00026,8,2025,384344,111397,29673,466068,Banque
309,TEACH-00026,9,2025,435318,97609,23641,509286,Virement
310,TEACH-00026,10,2025,773416,108181,13315,868282,Wave
311,TEACH-00026,11,2025,590425,101602,35649,656378,Banque
312,TEACH-00026,12,2025,276130,137295,29579,383846,Orange Money
313,TEACH-00027,1,2025,572045,167468,11111,728402,Virement
314,TEACH-00027,2,2025,496432,56919,10091,543260,Virement
315,TEACH-00027,3,2025,590867,115676,8281,698262,Banque
316,TEACH-00027,4,2025,579691,108778,22263,666206,Banque
317,TEACH-00027,5,2025,715872,12191,18310,709753,Banque
318,TEACH-00027,6,2025,347930,11974,9982,349922,Virement
319,TEACH-00027,7,2025,263570,167369,45987,384952,Virement
320,TEACH-00027,8,2025,484053,135414,38998,580469,Wave
321,TEACH-00027,9,2025,612011,90640,19050,683601,Wave
322,TEACH-00027,10,2025,789222,30419,37830,781811,Banque
323,TEACH-00027,11,2025,386482,174952,45100,516334,Wave
324,TEACH-00027,12,2025,480693,173168,47986,605875,Banque
325,TEACH-00028,1,2025,669047,144692,18555,795184,Banque
326,TEACH-00028,2,2025,636309,171233,26793,780749,Banque
327,TEACH-00028,3,2025,366926,170411,30646,506691,Orange Money
328,TEACH-00028,4,2025,507868,30184,36577,501475,Wave
329,TEACH-00028,5,2025,250337,82830,1003,332164,Virement
330,TEACH-00028,6,2025,415730,174196,19266,570660,Wave
331,TEACH-00028,7,2025,726122,130311,4394,852039,Orange Money
332,TEACH-00028,8,2025,329118,74320,26204,377234,Wave
333,TEACH-00028,9,2025,498612,137294,38095,597811,Orange Money
334,TEACH-00028,10,2025,362811,75403,41785,396429,Wave
335,TEACH-00028,11,2025,503728,118180,41718,580190,Orange Money
336,TEACH-00028,12,2025,569900,46995,23515,593380,Wave
337,TEACH-00029,1,2025,267142,157281,12448,411975,Virement
338,TEACH-00029,2,2025,792715,104075,2702,894088,Orange Money
339,TEACH-00029,3,2025,462826,46734,6984,502576,Banque
340,TEACH-00029,4,2025,326697,161728,20774,467651,Wave
341,TEACH-00029,5,2025,762849,153832,46930,869751,Wave
342,TEACH-00029,6,2025,500290,105195,35443,570042,Orange Money
343,TEACH-00029,7,2025,477553,43183,38872,481864,Virement
344,TEACH-00029,8,2025,251814,141304,30329,362789,Orange Money
345,TEACH-00029,9,2025,283329,22338,22439,283228,Orange Money
346,TEACH-00029,10,2025,771247,182165,22181,931231,Wave
347,TEACH-00029,11,2025,664406,111238,3468,772176,Virement
348,TEACH-00029,12,2025,271064,178778,24226,425616,Wave
349,TEACH-00030,1,2025,495277,160216,17051,638442,Banque
350,TEACH-00030,2,2025,485815,36023,39428,482410,Virement
351,TEACH-00030,3,2025,310153,163347,36267,437233,Wave
352,TEACH-00030,4,2025,540838,82033,21159,601712,Wave
353,TEACH-00030,5,2025,577528,55948,27919,605557,Orange Money
354,TEACH-00030,6,2025,505441,11885,3564,513762,Orange Money
355,TEACH-00030,7,2025,710771,101442,47734,764479,Wave
356,TEACH-00030,8,2025,775964,1599,39420,738143,Virement
357,TEACH-00030,9,2025,366568,161369,2922,525015,Orange Money
358,TEACH-00030,10,2025,405751,172198,31205,546744,Orange Money
359,TEACH-00030,11,2025,302608,12960,2211,313357,Orange Money
360,TEACH-00030,12,2025,762514,157632,36096,884050,Wave
361,TEACH-00031,1,2025,785700,153186,32538,906348,Wave
362,TEACH-00031,2,2025,751039,74133,13990,811182,Orange Money
363,TEACH-00031,3,2025,368003,26474,44559,349918,Wave
364,TEACH-00031,4,2025,531509,139838,20966,650381,Banque
365,TEACH-00031,5,2025,783008,194026,12968,964066,Banque
366,TEACH-00031,6,2025,251447,118685,11412,358720,Orange Money
367,TEACH-00031,7,2025,481225,123756,34905,570076,Virement
368,TEACH-00031,8,2025,405965,175437,10526,570876,Virement
369,TEACH-00031,9,2025,507367,188786,16984,679169,Orange Money
370,TEACH-00031,10,2025,759583,169385,43456,885512,Virement
371,TEACH-00031,11,2025,589950,51958,2072,639836,Wave
372,TEACH-00031,12,2025,361148,167462,11041,517569,Banque
373,TEACH-00032,1,2025,577536,188148,34759,730925,Orange Money
374,TEACH-00032,2,2025,607532,179883,4830,782585,Virement
375,TEACH-00032,3,2025,351168,31378,29562,352984,Banque
376,TEACH-00032,4,2025,295488,156045,6807,444726,Banque
377,TEACH-00032,5,2025,642016,70058,11329,700745,Orange Money
378,TEACH-00032,6,2025,706256,97775,40737,763294,Virement
379,TEACH-00032,7,2025,514055,41403,32310,523148,Orange Money
380,TEACH-00032,8,2025,792818,163348,3184,952982,Banque
381,TEACH-00032,9,2025,707252,18118,11425,713945,Virement
382,TEACH-00032,10,2025,364912,154566,9513,509965,Wave
383,TEACH-00032,11,2025,488425,167497,41642,614280,Banque
384,TEACH-00032,12,2025,512464,167415,21010,658869,Banque
385,TEACH-00033,1,2025,355921,71702,33694,393929,Wave
386,TEACH-00033,2,2025,480117,42216,11281,511052,Wave
387,TEACH-00033,3,2025,662529,108559,7307,763781,Orange Money
388,TEACH-00033,4,2025,739125,184219,17130,906214,Wave
389,TEACH-00033,5,2025,341925,146966,35513,453378,Orange Money
390,TEACH-00033,6,2025,555326,173001,20354,707973,Virement
391,TEACH-00033,7,2025,441816,78337,33361,486792,Banque
392,TEACH-00033,8,2025,683417,151601,32920,802098,Virement
393,TEACH-00033,9,2025,740259,170521,15826,894954,Wave
394,TEACH-00033,10,2025,483017,68917,24001,527933,Orange Money
395,TEACH-00033,11,2025,663883,117455,12170,769168,Banque
396,TEACH-00033,12,2025,416514,169944,18882,567576,Banque
397,TEACH-00034,1,2025,525442,58789,31995,552236,Wave
398,TEACH-00034,2,2025,426499,13059,37583,401975,Banque
399,TEACH-00034,3,2025,741266,20292,41,761517,Virement
400,TEACH-00034,4,2025,563423,63451,18314,608560,Orange Money
401,TEACH-00034,5,2025,281242,74625,35747,320120,Orange Money
402,TEACH-00034,6,2025,557138,30974,44903,543209,Banque
403,TEACH-00034,7,2025,514724,193428,12634,695518,Banque
404,TEACH-00034,8,2025,724249,172642,23868,873023,Wave
405,TEACH-00034,9,2025,697287,180720,6155,871852,Virement
406,TEACH-00034,10,2025,331612,25416,37293,319735,Wave
407,TEACH-00034,11,2025,389489,140259,47410,482338,Banque
408,TEACH-00034,12,2025,433700,78708,25401,487007,Orange Money
409,TEACH-00035,1,2025,662845,189227,31845,820227,Orange Money
410,TEACH-00035,2,2025,426401,56215,32242,450374,Banque
411,TEACH-00035,3,2025,635452,161507,27143,769816,Wave
412,TEACH-00035,4,2025,529198,17285,41027,505456,Orange Money
413,TEACH-00035,5,2025,370692,49860,49240,371312,Banque
414,TEACH-00035,6,2025,639037,3858,3353,639542,Wave
415,TEACH-00035,7,2025,777479,89336,10304,856511,Banque
416,TEACH-00035,8,2025,673539,189693,14280,848952,Banque
417,TEACH-00035,9,2025,491265,149434,39340,601359,Banque
418,TEACH-00035,10,2025,666032,25037,21511,669558,Orange Money
419,TEACH-00035,11,2025,398237,37900,10762,425375,Orange Money
420,TEACH-00035,12,2025,639464,108801,46038,702227,Virement
421,TEACH-00036,1,2025,320777,125469,8316,437930,Wave
422,TEACH-00036,2,2025,498065,138811,21410,615466,Orange Money
423,TEACH-00036,3,2025,327885,126356,45969,408272,Banque
424,TEACH-00036,4,2025,452832,131287,42559,541560,Virement
425,TEACH-00036,5,2025,445197,129363,32883,541677,Orange Money
426,TEACH-00036,6,2025,265781,123401,28922,360260,Orange Money
427,TEACH-00036,7,2025,253964,136672,30768,359868,Virement
428,TEACH-00036,8,2025,268786,107745,12842,363689,Virement
429,TEACH-00036,9,2025,306318,196455,23067,479706,Banque
430,TEACH-00036,10,2025,320932,120930,46838,395024,Orange Money
431,TEACH-00036,11,2025,653036,116484,4388,765132,Wave
432,TEACH-00036,12,2025,402290,136188,38237,500241,Orange Money
433,TEACH-00037,1,2025,765919,177647,45442,898124,Wave
434,TEACH-00037,2,2025,766813,80339,47713,799439,Orange Money
435,TEACH-00037,3,2025,410188,7490,17628,400050,Orange Money
436,TEACH-00037,4,2025,275518,64951,16960,323509,Virement
437,TEACH-00037,5,2025,642309,131669,31639,742339,Orange Money
438,TEACH-00037,6,2025,580961,145817,9637,717141,Orange Money
439,TEACH-00037,7,2025,513508,43103,36683,519928,Virement
440,TEACH-00037,8,2025,424841,126569,14227,537183,Banque
441,TEACH-00037,9,2025,641335,184032,17703,807664,Orange Money
