id_absence,teacher_code,date_absence,motif,justifiee,duree_heures,remplace
78,TEACH-02085,2025-07-12,Congé,False,12,True
79,TEACH-00635,2025-10-03,Mission,False,15,True
80,TEACH-00534,2025-06-17,,True,1,False
81,TEACH-00844,2024-12-07,,True,24,True
82,TEACH-00673,2025-10-04,Personnel,True,4,False
83,TEACH-02847,2025-07-26,Mission,False,24,True
84,TEACH-03691,2026-04-21,,False,12,False
85,TEACH-00394,2024-09-26,,False,3,True
86,TEACH-02828,2024-12-08,Maladie,False,7,False
87,TEACH-02633,2025-04-09,Mission,False,1,True
88,TEACH-03693,2024-10-30,Mission,False,15,True
89,TEACH-00058,2025-07-25,Mission,True,23,True
90,TEACH-02652,2025-09-29,Mission,False,4,True
91,TEACH-02083,2024-11-08,,False,14,False
92,TEACH-03452,2025-03-17,Mission,True,16,False
93,TEACH-03754,2025-09-09,,False,4,False
94,TEACH-04394,2025-02-13,,False,14,False
95,TEACH-02412,2026-05-14,Maladie,False,8,False
96,TEACH-01168,2024-10-27,,False,2,True
97,TEACH-01767,2024-12-06,Personnel,False,4,False
98,TEACH-00871,2026-02-03,Maladie,False,19,False
99,TEACH-01054,2025-10-31,,False,9,False
100,TEACH-01549,2025-09-14,Mission,True,14,True
101,TEACH-00652,2024-12-09,,False,11,True
102,TEACH-00565,2024-10-09,Personnel,False,16,True
103,TEACH-01246,2025-05-10,,False,16,False
104,TEACH-01102,2025-04-25,Congé,False,24,False
105,TEACH-03597,2024-09-04,Mission,False,17,True
106,TEACH-04664,2025-06-30,Congé,False,11,False
107,TEACH-01651,2025-04-24,Maladie,False,19,True
108,TEACH-03153,2025-01-26,Maladie,False,11,False
109,TEACH-03612,2025-05-09,Congé,True,4,True
110,TEACH-03733,2025-11-30,Personnel,True,14,False
111,TEACH-03514,2025-08-12,,True,15,False
112,TEACH-01017,2025-04-09,,True,13,False
113,TEACH-01226,2025-10-15,Maladie,False,5,True
114,TEACH-00275,2025-02-12,Congé,True,2,False
115,TEACH-01034,2025-05-08,,True,17,False
116,TEACH-03767,2024-08-29,Mission,False,6,False
117,TEACH-03025,2025-07-11,Mission,False,12,False
118,TEACH-00001,2026-03-05,Mission,False,10,False
119,TEACH-01278,2025-05-16,Personnel,False,17,False
120,TEACH-03153,2025-06-26,Personnel,True,19,True
121,TEACH-00933,2026-07-23,Personnel,True,11,True
122,TEACH-00898,2025-08-31,Congé,True,18,True
123,TEACH-04076,2026-03-04,,True,9,True
124,TEACH-01571,2024-10-18,Mission,False,24,False
125,TEACH-03116,2025-05-01,Congé,True,21,False
126,TEACH-03107,2026-03-21,,False,2,True
127,TEACH-00834,2025-06-28,Maladie,False,8,False
128,TEACH-04255,2026-04-04,Personnel,False,12,False
129,TEACH-03369,2026-07-25,Mission,True,11,True
130,TEACH-02387,2025-09-12,Personnel,False,3,True
131,TEACH-02892,2025-07-22,Maladie,True,20,False
132,TEACH-01633,2026-06-04,,True,15,True
133,TEACH-02545,2025-10-17,Mission,False,21,True
134,TEACH-01233,2024-12-05,Maladie,True,15,True
135,TEACH-03283,2026-06-02,Personnel,True,5,False
136,TEACH-03026,2025-12-01,Congé,True,7,False
137,TEACH-01663,2025-12-26,Maladie,False,12,False
138,TEACH-04826,2025-06-13,Congé,True,17,True
139,TEACH-01923,2025-03-23,Maladie,False,15,True
140,TEACH-01778,2026-02-26,Maladie,True,6,True
141,TEACH-04294,2025-09-09,,False,4,True
142,TEACH-01471,2025-05-05,Mission,False,1,True
143,TEACH-01041,2024-11-23,Personnel,True,14,False
144,TEACH-04642,2026-03-10,Mission,False,16,True
145,TEACH-04979,2025-07-31,,True,18,False
146,TEACH-02802,2024-10-01,Congé,False,3,True
147,TEACH-00537,2025-04-20,Congé,True,3,True
148,TEACH-03772,2025-05-14,Congé,False,6,False
149,TEACH-04697,2025-10-05,Personnel,True,5,True
150,TEACH-01523,2026-04-26,Congé,False,17,True
151,TEACH-00236,2025-01-29,Personnel,False,19,True
152,TEACH-03461,2025-06-05,Congé,False,4,True
153,TEACH-01689,2024-08-12,Personnel,True,6,True
154,TEACH-00192,2025-06-29,Personnel,False,3,False
155,TEACH-02479,2025-03-20,Congé,False,15,False
156,TEACH-00274,2025-06-23,Congé,False,14,True
157,TEACH-03573,2025-09-01,Mission,False,24,False
158,TEACH-02313,2026-07-03,Mission,True,14,True
159,TEACH-02937,2025-11-24,Mission,False,17,False
160,TEACH-03702,2024-12-19,,True,14,False
161,TEACH-02061,2025-09-10,Mission,True,17,True
162,TEACH-03360,2026-04-26,Personnel,True,10,False
163,TEACH-03223,2025-02-05,Maladie,False,19,False
164,TEACH-03919,2025-08-31,Maladie,False,8,False
165,TEACH-03957,2026-02-18,Maladie,False,24,False
166,TEACH-03353,2025-12-19,,False,19,True
167,TEACH-01027,2024-08-24,Personnel,False,3,True
168,TEACH-04403,2026-04-08,Mission,False,16,False
169,TEACH-04335,2026-03-22,Personnel,True,12,False
170,TEACH-01173,2024-09-07,Personnel,True,20,True
171,TEACH-03692,2025-12-03,Maladie,False,13,False
172,TEACH-03830,2024-10-01,Maladie,True,3,True
173,TEACH-01298,2026-04-13,Congé,True,1,False
174,TEACH-01024,2025-01-11,Maladie,True,2,True
175,TEACH-03589,2024-11-04,Congé,False,23,False
176,TEACH-04709,2024-12-17,,True,17,False
177,TEACH-04998,2025-11-17,Maladie,True,22,False
178,TEACH-00402,2025-08-22,,True,15,False
179,TEACH-02418,2026-02-25,,False,15,True
180,TEACH-03779,2025-08-01,Personnel,True,11,True
181,TEACH-00058,2025-05-23,,True,22,True
182,TEACH-02090,2025-03-02,Personnel,True,8,True
183,TEACH-01652,2026-01-11,,False,11,True
184,TEACH-01428,2025-07-09,Congé,False,12,True
185,TEACH-01376,2026-07-08,Congé,True,6,True
186,TEACH-03327,2024-11-08,Congé,False,17,False
187,TEACH-03075,2024-09-17,,False,10,False
188,TEACH-02075,2025-03-22,,False,9,False
189,TEACH-04709,2025-05-13,Maladie,True,22,True
190,TEACH-02935,2025-07-22,Maladie,False,13,False
191,TEACH-02704,2025-01-08,Maladie,True,22,False
192,TEACH-04780,2024-08-24,Maladie,True,17,True
193,TEACH-03663,2024-10-11,Maladie,True,5,False
194,TEACH-00585,2026-07-26,Congé,False,15,False
195,TEACH-02219,2026-07-28,Mission,False,17,True
196,TEACH-02921,2024-10-03,Personnel,True,14,False
197,TEACH-03544,2026-01-07,Mission,False,7,False
198,TEACH-04767,2024-08-04,Mission,False,5,False
199,TEACH-04785,2026-06-24,Mission,True,16,True
200,TEACH-00274,2025-05-16,Congé,True,13,False
201,TEACH-01533,2025-05-13,,True,20,False
202,TEACH-01876,2026-04-16,,True,21,False
203,TEACH-04441,2025-08-09,Congé,False,2,True
204,TEACH-00543,2025-06-11,Personnel,True,5,False
205,TEACH-04535,2025-12-01,Mission,False,14,True
206,TEACH-02673,2025-02-19,,False,13,False
207,TEACH-03205,2026-06-28,Congé,True,12,True
208,TEACH-03533,2025-12-11,,False,21,True
209,TEACH-00838,2025-03-08,Mission,False,20,False
210,TEACH-04527,2025-01-03,Mission,False,18,True
211,TEACH-01072,2025-07-04,Congé,True,18,False
212,TEACH-01577,2026-07-14,Maladie,False,1,False
213,TEACH-03533,2026-06-17,Congé,False,9,False
214,TEACH-02823,2024-12-16,Mission,False,20,True
215,TEACH-03244,2026-07-12,Personnel,True,8,False
216,TEACH-03841,2025-02-04,Mission,True,9,False
217,TEACH-00110,2025-12-06,,True,12,False
218,TEACH-03754,2025-03-16,Mission,True,7,True
219,TEACH-01696,2025-07-25,Maladie,False,22,True
220,TEACH-02834,2025-07-19,Congé,False,2,False
221,TEACH-01047,2026-04-18,Maladie,True,2,False
222,TEACH-01781,2025-04-25,,False,21,False
223,TEACH-03211,2024-08-19,,True,8,True
224,TEACH-01721,2025-10-24,Maladie,True,22,False
225,TEACH-01069,2024-09-20,Maladie,False,11,True
226,TEACH-01113,2025-07-14,,False,18,True
227,TEACH-00650,2025-08-27,Personnel,True,7,True
228,TEACH-00274,2025-06-29,Maladie,True,11,True
229,TEACH-03531,2025-11-20,Maladie,True,5,True
230,TEACH-03215,2025-11-29,,True,12,False
231,TEACH-01644,2025-12-31,Personnel,True,10,True
232,TEACH-04509,2025-09-27,Personnel,True,17,True
233,TEACH-04838,2025-07-21,Personnel,True,7,True
234,TEACH-03113,2024-11-17,Congé,False,10,True
235,TEACH-00362,2025-12-04,Personnel,True,19,False
236,TEACH-03224,2025-03-16,Congé,True,14,False
237,TEACH-04831,2025-11-28,Personnel,True,21,True
238,TEACH-00295,2026-01-13,Personnel,False,14,False
239,TEACH-01093,2025-01-17,Maladie,True,7,True
240,TEACH-02623,2025-04-12,Maladie,False,23,False
241,TEACH-03917,2026-07-08,Mission,False,17,True
242,TEACH-04968,2026-06-22,Personnel,False,7,True
243,TEACH-01200,2026-07-21,Congé,True,21,True
244,TEACH-00901,2025-06-26,Congé,True,15,True
245,TEACH-00146,2025-12-15,,False,6,False
246,TEACH-02383,2024-08-21,Congé,True,14,True
247,TEACH-04451,2026-04-13,Maladie,True,16,True
248,TEACH-01574,2025-04-17,Maladie,False,13,False
249,TEACH-02852,2025-01-06,,True,19,False
250,TEACH-04626,2024-11-10,Mission,False,16,True
251,TEACH-02370,2025-04-05,Maladie,False,10,True
252,TEACH-00714,2025-08-12,Congé,True,10,False
253,TEACH-02973,2025-07-09,Personnel,False,14,True
254,TEACH-00874,2026-05-18,,True,15,False
255,TEACH-01665,2026-07-26,Personnel,False,9,True
256,TEACH-04606,2026-04-13,Personnel,True,23,True
257,TEACH-02232,2025-07-06,,False,4,False
258,TEACH-00360,2026-05-30,Congé,False,16,False
259,TEACH-01390,2025-08-29,Maladie,False,7,False
260,TEACH-03999,2025-09-18,Maladie,False,5,True
261,TEACH-03670,2025-07-31,Personnel,False,22,True
262,TEACH-00575,2025-01-09,Maladie,True,2,False
263,TEACH-03828,2026-01-17,Maladie,True,7,True
264,TEACH-03695,2024-10-09,Mission,False,18,True
265,TEACH-00837,2025-12-08,Mission,True,20,False
266,TEACH-00340,2025-11-17,,True,1,False
267,TEACH-02487,2024-11-22,Congé,False,17,True
268,TEACH-02376,2026-02-07,,True,4,False
269,TEACH-04955,2026-02-03,Personnel,False,23,False
270,TEACH-03353,2025-02-14,Maladie,False,13,False
271,TEACH-04270,2026-02-05,Personnel,False,9,False
272,TEACH-03033,2025-08-20,Maladie,True,8,False
273,TEACH-04070,2025-06-05,,False,19,True
274,TEACH-03463,2026-02-20,Mission,True,19,False
275,TEACH-00411,2025-09-28,,False,4,False
276,TEACH-03834,2026-07-05,,False,12,False
277,TEACH-04830,2024-10-19,Congé,False,4,False
278,TEACH-02774,2026-05-04,Congé,False,19,False
279,TEACH-00226,2026-06-30,Mission,False,22,False
280,TEACH-04721,2026-07-03,Personnel,True,20,True
281,TEACH-01762,2026-02-09,,True,10,False
282,TEACH-01719,2024-09-02,,True,3,False
283,TEACH-04459,2025-11-23,Mission,True,13,True
284,TEACH-02200,2026-02-27,Mission,True,1,True
285,TEACH-00553,2025-09-02,Personnel,True,15,True
286,TEACH-00340,2025-11-01,Mission,True,13,True
287,TEACH-00151,2026-06-06,Congé,False,19,False
288,TEACH-00274,2024-11-03,,False,16,False
289,TEACH-04911,2025-01-26,Congé,True,12,True
290,TEACH-01919,2025-05-17,Maladie,True,16,False
291,TEACH-01955,2025-05-16,Maladie,True,15,True
292,TEACH-02932,2026-05-02,Congé,True,12,True
293,TEACH-03630,2026-04-01,,False,21,True
294,TEACH-02291,2024-09-14,Mission,False,17,True
295,TEACH-02310,2025-09-23,,False,4,False
296,TEACH-01281,2025-09-18,,True,24,False
297,TEACH-00117,2025-01-12,Mission,False,15,True
298,TEACH-03100,2024-09-25,,False,17,False
299,TEACH-04513,2025-04-17,Mission,False,5,True
300,TEACH-01349,2026-07-12,Mission,False,1,True
301,TEACH-02719,2024-11-18,,True,12,False
302,TEACH-02733,2025-08-03,Mission,False,20,True
303,TEACH-04725,2025-05-07,Maladie,True,6,True
304,TEACH-03750,2025-12-24,Personnel,False,21,False
305,TEACH-02449,2026-06-21,Personnel,False,7,False
306,TEACH-03513,2025-02-15,Mission,False,20,True
307,TEACH-03276,2026-06-25,Congé,False,16,True
308,TEACH-00182,2026-06-28,Maladie,True,21,False
309,TEACH-00601,2025-07-29,Maladie,False,3,False
310,TEACH-03593,2024-10-23,Congé,True,21,True
311,TEACH-03047,2024-08-28,Maladie,True,3,False
312,TEACH-00291,2025-05-12,,True,20,True
313,TEACH-02129,2025-08-31,,False,6,True
314,TEACH-02293,2026-03-15,Congé,True,23,False
315,TEACH-03482,2025-07-01,Mission,True,2,True
316,TEACH-02621,2024-09-04,Maladie,False,15,False
317,TEACH-03322,2024-12-06,Congé,True,5,False
318,TEACH-00188,2024-07-30,Maladie,False,12,True
319,TEACH-02557,2025-11-12,Maladie,True,9,False
320,TEACH-00859,2025-01-18,Congé,False,23,False
321,TEACH-02266,2025-03-29,Mission,True,15,False
322,TEACH-04045,2025-06-29,,True,19,False
323,TEACH-02399,2026-03-07,Personnel,True,9,True
324,TEACH-01061,2025-07-06,,False,4,False
325,TEACH-00144,2025-05-30,Mission,True,11,True
326,TEACH-01951,2025-04-21,Personnel,True,17,False
327,TEACH-03345,2025-07-08,Mission,False,21,False
328,TEACH-04839,2026-02-08,Mission,False,2,True
329,TEACH-02435,2024-11-28,,False,22,True
330,TEACH-03631,2025-07-04,Maladie,False,22,True
331,TEACH-04233,2026-01-20,Mission,False,18,False
332,TEACH-02091,2025-07-15,Personnel,False,10,False
333,TEACH-03124,2025-12-22,Personnel,False,1,True
334,TEACH-04719,2025-08-13,Personnel,False,2,True
335,TEACH-00571,2025-05-01,Personnel,False,1,True
336,TEACH-03481,2025-12-31,,True,17,True
337,TEACH-01505,2025-08-02,Maladie,True,23,True
338,TEACH-01954,2026-01-26,Personnel,False,5,True
339,TEACH-02047,2026-06-27,,True,12,True
340,TEACH-02036,2024-12-03,Personnel,True,18,True
341,TEACH-00475,2026-02-21,Maladie,True,2,True
342,TEACH-00304,2025-10-27,Maladie,False,18,False
343,TEACH-04472,2025-07-03,,True,18,True
344,TEACH-01660,2025-05-25,Mission,True,9,False
345,TEACH-03615,2024-09-21,,False,14,False
346,TEACH-00921,2026-05-21,,False,3,True
347,TEACH-03853,2025-03-30,Congé,True,17,True
348,TEACH-01338,2026-07-19,Mission,True,7,True
349,TEACH-03489,2025-11-19,,True,18,False
350,TEACH-01197,2026-03-13,Mission,True,19,True
351,TEACH-04643,2025-06-24,Personnel,True,5,True
352,TEACH-02028,2025-03-01,Mission,False,14,True
353,TEACH-02114,2026-07-24,Mission,True,13,True
354,TEACH-04627,2024-10-20,Congé,False,11,False
355,TEACH-00502,2024-12-15,Maladie,False,7,True
356,TEACH-01418,2026-01-31,,True,1,False
357,TEACH-02083,2025-06-30,Maladie,False,12,True
358,TEACH-01526,2026-07-26,Congé,False,21,False
359,TEACH-04358,2025-12-24,Mission,True,23,False
360,TEACH-02652,2024-10-12,Mission,True,15,True
361,TEACH-03008,2025-02-28,Congé,False,21,False
362,TEACH-04601,2025-12-30,Personnel,False,11,True
363,TEACH-03248,2025-11-20,Personnel,False,15,True
364,TEACH-01341,2024-09-30,Maladie,False,15,True
365,TEACH-03211,2025-05-30,Personnel,False,1,True
366,TEACH-02855,2026-06-06,,True,19,False
367,TEACH-00934,2025-10-25,Congé,False,5,True
368,TEACH-02582,2026-03-14,Personnel,False,22,True
369,TEACH-01899,2025-11-17,Mission,False,19,True
370,TEACH-02426,2025-01-27,Congé,False,15,False
371,TEACH-02354,2025-07-27,,False,14,True
372,TEACH-03049,2026-07-07,,False,9,True
373,TEACH-03921,2024-10-05,Maladie,False,24,False
374,TEACH-04882,2026-04-19,,True,12,True
375,TEACH-01594,2024-12-31,Maladie,False,21,True
376,TEACH-00521,2025-08-24,,False,24,True
377,TEACH-02767,2025-07-31,,True,18,True
378,TEACH-03445,2026-06-27,Congé,True,22,False
379,TEACH-04649,2024-12-15,Congé,False,13,True
380,TEACH-03658,2025-07-31,Personnel,False,7,True
381,TEACH-03129,2025-11-16,Mission,False,21,False
382,TEACH-04746,2026-05-11,Mission,True,16,True
383,TEACH-02397,2025-08-26,Personnel,False,19,True
384,TEACH-04144,2024-11-09,Personnel,True,11,False
385,TEACH-01579,2025-01-27,Mission,True,12,False
386,TEACH-02383,2024-08-23,,False,1,False
387,TEACH-00162,2026-04-02,Maladie,True,21,False
388,TEACH-00999,2026-02-15,Mission,False,1,True
389,TEACH-01464,2026-05-13,Personnel,False,18,False
390,TEACH-01963,2025-02-17,Mission,False,3,True
391,TEACH-02075,2024-11-27,Mission,True,18,False
392,TEACH-03324,2025-09-25,Personnel,False,18,True
393,TEACH-04540,2025-06-21,Personnel,False,4,False
394,TEACH-03868,2025-04-11,Mission,False,9,True
395,TEACH-03920,2025-08-28,,False,12,True
396,TEACH-04175,2025-03-20,Mission,False,20,True
397,TEACH-04430,2024-11-19,,True,12,False
398,TEACH-04201,2025-04-26,Congé,False,4,False
399,TEACH-03667,2026-05-12,Congé,True,17,False
400,TEACH-02467,2025-09-12,Mission,True,18,False
401,TEACH-03199,2024-10-17,Maladie,False,1,True
402,TEACH-03648,2025-12-22,Congé,True,15,True
403,TEACH-03094,2026-06-10,Maladie,True,5,True
404,TEACH-02896,2026-07-26,,True,24,True
405,TEACH-03744,2026-05-16,,False,19,True
406,TEACH-03394,2025-06-21,Mission,True,18,True
407,TEACH-04211,2024-12-16,Maladie,True,8,False
408,TEACH-04006,2026-03-08,Congé,False,8,True
409,TEACH-02079,2024-12-31,Maladie,False,18,False
410,TEACH-04607,2026-02-13,,False,14,False
411,TEACH-02029,2026-01-19,Congé,True,24,False
412,TEACH-04368,2025-11-22,,True,12,False
413,TEACH-02752,2025-05-10,,True,4,False
414,TEACH-03179,2025-04-02,Mission,False,13,True
415,TEACH-03269,2025-06-13,Maladie,True,14,True
416,TEACH-01363,2025-07-18,Maladie,True,12,True
417,TEACH-00506,2024-08-03,Mission,False,24,True
418,TEACH-04375,2025-04-21,Congé,True,12,False
419,TEACH-01999,2025-03-06,,False,24,True
420,TEACH-02118,2025-08-28,,False,11,True
421,TEACH-01160,2025-01-09,,True,17,True
422,TEACH-04033,2025-02-11,Mission,True,2,True
423,TEACH-01081,2026-06-26,Congé,True,4,True
424,TEACH-04668,2025-10-25,Mission,False,20,False
425,TEACH-03519,2024-08-20,,True,11,True
426,TEACH-01931,2025-09-30,Personnel,False,16,True
427,TEACH-02085,2026-02-16,Maladie,False,12,False
428,TEACH-03595,2024-09-18,Maladie,True,22,False
429,TEACH-02527,2025-01-09,Maladie,True,5,True
430,TEACH-01595,2026-07-20,Congé,False,19,True
431,TEACH-00436,2025-05-30,Mission,True,17,False
432,TEACH-04973,2026-01-09,Maladie,False,9,True
433,TEACH-02275,2024-09-24,Personnel,False,9,False
434,TEACH-01947,2025-07-12,Personnel,False,10,False
435,TEACH-03364,2026-07-08,Mission,False,16,False
436,TEACH-04376,2026-01-22,Congé,True,23,True
437,TEACH-04060,2026-04-14,Maladie,False,3,False
438,TEACH-04497,2026-05-17,Congé,False,21,True
439,TEACH-02049,2024-11-18,,True,2,True
440,TEACH-03481,2026-05-27,Maladie,False,21,False
441,TEACH-02380,2024-11-10,Maladie,False,23,False
442,TEACH-00948,2025-12-18,Maladie,False,14,False
443,TEACH-01452,2025-11-24,,False,22,False
444,TEACH-00880,2025-02-24,Maladie,True,21,False
445,TEACH-01677,2026-04-04,Mission,True,15,True
446,TEACH-00260,2025-03-09,Congé,False,20,False
447,TEACH-03606,2026-07-23,Mission,False,13,True
448,TEACH-01362,2026-01-25,Personnel,True,22,True
449,TEACH-03762,2024-09-08,Mission,True,16,True
450,TEACH-01583,2026-04-07,,True,21,True
451,TEACH-03487,2025-03-09,Mission,True,18,True
452,TEACH-02912,2026-05-20,Personnel,True,17,False
453,TEACH-02904,2024-12-15,Personnel,True,22,True
454,TEACH-01415,2026-03-01,Maladie,True,15,True
455,TEACH-03465,2026-05-03,Personnel,False,13,False
456,TEACH-00566,2025-08-16,,True,2,True
457,TEACH-04014,2026-05-10,,False,7,False
458,TEACH-04814,2025-05-25,Maladie,False,12,False
459,TEACH-01029,2024-09-04,Mission,True,12,False
460,TEACH-02157,2025-03-01,Personnel,False,1,False
461,TEACH-01076,2026-02-22,Congé,False,12,True
462,TEACH-00675,2026-05-30,,True,8,False
463,TEACH-00184,2024-08-08,Personnel,False,20,True
464,TEACH-00670,2025-01-16,Congé,True,20,False
465,TEACH-04329,2025-05-03,Congé,True,22,True
466,TEACH-04344,2025-06-13,Personnel,False,9,True
467,TEACH-01440,2024-11-12,Maladie,False,13,True
468,TEACH-00580,2026-02-16,,False,2,False
469,TEACH-01308,2025-09-29,Maladie,False,8,True
470,TEACH-04578,2025-04-18,Mission,True,9,False
471,TEACH-01826,2024-09-24,Personnel,True,1,True
472,TEACH-01393,2024-08-23,Congé,True,9,True
473,TEACH-00543,2025-12-28,,True,23,False
474,TEACH-00455,2026-02-19,Congé,True,11,True
475,TEACH-02500,2025-05-29,Mission,False,20,False
476,TEACH-03820,2026-03-02,Maladie,False,7,False
477,TEACH-04847,2025-12-09,Congé,True,9,False
478,TEACH-00127,2025-03-01,Congé,True,22,False
479,TEACH-00962,2025-08-02,Personnel,False,15,False
480,TEACH-04050,2025-03-25,Personnel,True,3,False
481,TEACH-04810,2025-05-21,Personnel,False,1,True
482,TEACH-02267,2026-06-18,Mission,False,14,False
483,TEACH-02811,2024-09-18,Personnel,False,14,False
484,TEACH-02700,2024-09-01,Maladie,True,8,True
485,TEACH-01397,2024-08-01,Personnel,False,13,False
486,TEACH-01236,2024-11-20,Mission,False,9,True
487,TEACH-03520,2026-06-11,Maladie,False,17,True
488,TEACH-02327,2026-06-02,Maladie,False,22,True
489,TEACH-03761,2025-04-22,Personnel,True,4,True
490,TEACH-01125,2025-02-15,Personnel,True,11,False
491,TEACH-02020,2025-04-28,Personnel,True,10,True
492,TEACH-01813,2024-11-16,Congé,True,14,True
493,TEACH-02909,2026-03-20,Maladie,False,23,True
494,TEACH-01002,2025-11-29,,True,10,True
495,TEACH-04283,2025-10-28,,False,22,True
496,TEACH-03913,2025-10-21,Congé,True,18,True
497,TEACH-02839,2024-09-17,Congé,False,14,True
498,TEACH-02041,2026-06-02,Mission,True,20,True
499,TEACH-04334,2026-01-21,Maladie,True,11,True
500,TEACH-04565,2024-11-28,,True,9,True
501,TEACH-04199,2026-04-25,Personnel,False,20,False
502,TEACH-03950,2025-10-08,Mission,False,22,True
503,TEACH-03526,2026-05-06,Personnel,True,20,False
504,TEACH-01886,2025-08-10,,False,5,True
505,TEACH-00512,2025-04-17,Congé,True,6,True
506,TEACH-02394,2025-01-05,Maladie,False,2,False
507,TEACH-04234,2024-08-03,Personnel,True,22,True
508,TEACH-02271,2025-12-11,Mission,False,1,True
509,TEACH-04464,2026-01-29,,False,12,False
510,TEACH-01857,2024-10-02,,False,8,False
511,TEACH-01413,2025-05-06,Maladie,True,22,True
512,TEACH-04630,2024-10-20,Maladie,False,3,True
513,TEACH-01884,2025-01-06,Personnel,False,21,True
514,TEACH-01450,2025-10-01,Maladie,False,13,True
515,TEACH-00015,2024-10-26,Mission,True,12,True
516,TEACH-02717,2025-06-14,Personnel,False,21,False
517,TEACH-04746,2026-01-06,Maladie,True,9,False
518,TEACH-04062,2025-01-22,Personnel,True,4,False
519,TEACH-00369,2025-05-31,,False,20,False
520,TEACH-02868,2025-09-12,,True,22,True
